q1_deg,q2_deg,x_m,y_m,x_cm,y_cm
0,0,0.5,0.0,50.0,0.0
0,90,0.3,0.2,30.0,20.0
90,0,3.061616997868383e-17,0.5,3.061616997868383e-15,50.0
90,-90,0.20000000000000004,0.3,20.000000000000004,30.0
30,60,0.2598076211353316,0.35,25.980762113533164,35.0
45,45,0.21213203435596426,0.41213203435596424,21.213203435596427,41.21320343559643
0,180,0.09999999999999998,2.4492935982947065e-17,9.999999999999998,2.4492935982947065e-15
180,0,-0.5,6.123233995736766e-17,-50.0,6.123233995736766e-15
-30,60,0.4330127018922194,-0.049999999999999975,43.30127018922194,-4.999999999999997
30,-60,0.4330127018922194,0.049999999999999975,43.30127018922194,4.999999999999997
60,-120,0.25000000000000006,0.08660254037844384,25.000000000000007,8.660254037844384
-90,90,0.20000000000000004,-0.3,20.000000000000004,-30.0
