model,joint,parent,child,lower_rad,upper_rad,declared_velocity_rad_s,declared_effort_nm,origin_xyz_m,axis
spark2_v2,arm_J1,arm_base_link,arm_L1,-3.141593,3.141593,100,100,0 0 0.084000000000000005,0 0 1
spark2_v2,arm_J2,arm_L1,arm_L2,-1.570796,1.570796,100,100,0.096000000000000002 0 0,0 0 1
spark2_v2,arm_J3,arm_L2,arm_L3,-3.141593,3.141593,100,100,0.34649999999999997 0 0,0 0 1
spark2_v2,arm_J4,arm_L3,arm_L4,-0.349066,3.141593,100,100,0.14999999999999999 0 0,0 0 1
spark2_v2,arm_J5,arm_L4,arm_L5,-3.141593,3.141593,100,100,0 -0.096000000000000002 0,0 0 1
spark2_v2,arm_J6,arm_L5,arm_L6,-6.2831853,6.2831853,100,100,0 -0.20000000000000001 0,0 0 1
D20260901B,joint01,baselink,Link01,-3.14,3.14,0,0,0 0 0.093,0 0 -1
D20260901B,joint02,Link01,Link02,-3.14,3.14,0,0,0.0935 0 0,0 0 -1
D20260901B,joint03,Link02,Link03,-3.14,3.14,0,0,0.3465 0 0,0 0 -1
D20260901B,joint04,Link03,Link04,-3.14,3.14,0,0,0.25 0 0,0 0 -1
D20260901B,joint05,Link04,Link05,-3.14,3.14,0,0,0 0 -0.0316,0 0 1
D20260901B,joint06,Link05,Link06,-3.14,3.14,0,0,0 0 0.068836,0 0 -1
D20260902B60,JI,base_link,L1,-3.14,3.14,0,0,0 0 0.0982,0 0 -1
D20260902B60,J2,L1,L2,-3.14,3.14,0,0,0.096 0 0,0 0 1
D20260902B60,J3,L2,L3,-3.14,3.14,0,0,0.3465 0 0,0 0 -1
D20260902B60,J4,L3,L4,-3.14,3.14,0,0,0.15 0 0,0 0 -1
D20260902B60,J5,L4,L5,-3.14,3.14,0,0,-6.388E-05 -0.09582 -0.06941,0 0 -1
D20260902B60,J6,L5,L6,-3.14,3.14,0,0,0 -0.1 0,0 0 1
D20260903B10,J1,base_link,L1,-3.14,3.14,0,0,0 0 0.0982,0 0 -1
D20260903B10,J2,L1,L2,-3.14,3.14,0,0,0.096 0 0,0 0 1
D20260903B10,J3,L2,L3,-3.14,3.14,0,0,0.3465 0 0,0 0 -1
D20260903B10,J4,L3,L4,-3.14,3.14,0,0,0.15 0 0,0 0 -1
D20260903B10,J5,L4,L5,-3.14,3.14,0,0,0.00075 -0.0959 0.042,0 0.0078204 0.99997
D20260903B10,J6,L5,L6,-3.14,3.14,0,0,0 0.0985 0,0 0 1
