t_s,q_rad,v_rad_s,torque_nm
0.0,0.0,0.0,2.0
0.005,5e-05,0.01,2.0
0.01,0.00014992500000000003,0.019985000000000003,2.0
0.015,0.00029970011250000006,0.029955022500000004,2.0
0.02,0.00049925056233125,0.039910089966250006,2.0
0.025,0.0007485016864877532,0.04985022483130063,2.0
0.03,0.0010473789339580217,0.05977544949405368,2.0
0.035,0.0013958078655570848,0.0696857863198126,2.0
0.04,0.0017937141537587493,0.07958125764033289,2.0
0.045,0.0022410235825281112,0.08946188575387239,2.0
0.05,0.002737662047154319,0.09932769292524157,2.0
0.055,0.0032835555540835877,0.10917870138585371,2.0
0.06,0.0038786302207524624,0.11901493333377493,2.0
0.065,0.0045228122754213335,0.12883641093377426,2.0
0.07,0.005216028057008201,0.13864315631737362,2.0
0.075,0.005958204014922689,0.14843519158289756,2.0
0.08,0.006749266708900305,0.15821253879552322,2.0
0.085,0.007589142808836955,0.16797521998732992,2.0
0.09,0.0084777590946237,0.17772325715734894,2.0
0.095,0.009415042455981763,0.18745667227161292,2.0
0.1,0.010400919892297791,0.1971754872632055,2.0
0.105,0.011435318512459344,0.2068797240323107,2.0
0.11,0.012518165534690656,0.21656940444626224,2.0
0.115,0.01364938828638862,0.22624455033959284,2.0
0.12,0.014828914203959037,0.23590518351408346,2.0
0.125,0.016056670832653098,0.24555132573881233,2.0
0.13,0.01733258582640412,0.2551829987502041,2.0
0.135,0.018656586947664512,0.26480022425207883,2.0
0.14,0.020028602067243016,0.2744030239157007,2.0
0.145,0.02144855916414215,0.28399141937982714,2.0
0.15,0.022916386325395936,0.2935654322507574,2.0
0.155,0.024432011745907842,0.30312508410238126,2.0
0.16,0.02599536372828898,0.3126703964762277,2.0
0.165,0.02760637068269655,0.32220139088151334,2.0
0.17,0.029264961126672505,0.33171808879519105,2.0
0.17500000000000002,0.030971063684982494,0.34122051166199824,2.0
0.18,0.03272460708945502,0.35070868089450524,2.0
0.185,0.03452552017882084,0.36018261787316347,2.0
0.19,0.03637373189855261,0.3696423439463537,2.0
0.195,0.03826917130070478,0.3790878804304342,2.0
0.2,0.04021176754375372,0.38851924860978854,2.0
0.20500000000000002,0.042201449892438084,0.39793646973687385,2.0
