t_s,q_rad,v_rad_s,a_rad_s2
0.0,0.0,0.0,1.0
0.0125,7.812500000000002e-05,0.0125,1.0
0.025,0.00031250000000000006,0.025,1.0
0.0375,0.000703125,0.0375,1.0
0.05,0.0012500000000000002,0.05,1.0
0.0625,0.001953125,0.0625,1.0
0.075,0.0028125,0.075,1.0
0.0875,0.0038281249999999995,0.0875,1.0
0.1,0.005000000000000001,0.1,1.0
0.1125,0.006328125,0.1125,1.0
0.125,0.0078125,0.125,1.0
0.1375,0.009453125000000001,0.1375,1.0
0.15,0.01125,0.15,1.0
0.1625,0.013203125000000001,0.1625,1.0
0.175,0.015312499999999998,0.175,1.0
0.1875,0.017578125,0.1875,1.0
0.2,0.020000000000000004,0.2,1.0
0.2125,0.022578124999999998,0.2125,1.0
0.225,0.0253125,0.225,1.0
0.2375,0.028203125,0.2375,1.0
0.25,0.03125,0.25,1.0
0.2625,0.034453125,0.2625,1.0
0.275,0.037812500000000006,0.275,1.0
0.2875,0.04132812499999999,0.2875,1.0
0.3,0.045,0.3,1.0
0.3125,0.048828125,0.3125,1.0
0.325,0.052812500000000005,0.325,1.0
0.3375,0.05695312500000001,0.3375,1.0
0.35,0.06124999999999999,0.35,1.0
0.3625,0.065703125,0.3625,1.0
0.375,0.0703125,0.375,1.0
0.3875,0.07507812500000001,0.3875,1.0
0.4,0.08000000000000002,0.4,1.0
0.4125,0.08507812499999999,0.4125,1.0
0.425,0.09031249999999999,0.425,1.0
0.4375,0.095703125,0.4375,1.0
0.45,0.10125,0.45,1.0
0.4625,0.10695312500000001,0.4625,1.0
0.475,0.1128125,0.475,1.0
0.4875,0.11882812499999999,0.4875,1.0
0.5,0.125,0.5,0.0
0.5125,0.13124999999999998,0.5,0.0
0.525,0.1375,0.5,0.0
0.5375,0.14375,0.5,0.0
0.55,0.15000000000000002,0.5,0.0
0.5625,0.15625,0.5,0.0
0.575,0.16249999999999998,0.5,0.0
0.5875,0.16875,0.5,0.0
0.6,0.175,0.5,0.0
0.6125,0.18125000000000002,0.5,0.0
0.625,0.1875,0.5,0.0
0.6375,0.19374999999999998,0.5,0.0
0.65,0.2,0.5,0.0
0.6625,0.20625,0.5,0.0
0.675,0.21250000000000002,0.5,0.0
0.6875,0.21875,0.5,0.0
0.7,0.22499999999999998,0.5,0.0
0.7125,0.23125,0.5,0.0
0.725,0.2375,0.5,0.0
0.7375,0.24375000000000002,0.5,0.0
0.75,0.25,0.5,0.0
0.7625,0.25625,0.5,0.0
0.775,0.2625,0.5,0.0
0.7875,0.26875,0.5,0.0
0.8,0.275,0.5,0.0
0.8125,0.28125,0.5,0.0
0.825,0.2875,0.5,0.0
0.8375,0.29375,0.5,0.0
0.85,0.3,0.5,0.0
0.8625,0.30625,0.5,0.0
0.875,0.3125,0.5,0.0
0.8875,0.31875,0.5,0.0
0.9,0.325,0.5,0.0
0.9125,0.33125,0.5,0.0
0.925,0.3375,0.5,0.0
0.9375,0.34375,0.5,0.0
0.95,0.35,0.5,0.0
0.9625,0.35625,0.5,0.0
0.975,0.3625,0.5,0.0
0.9875,0.36875,0.5,0.0
1.0,0.375,0.5,0.0
1.0125,0.38125,0.5,0.0
1.025,0.38749999999999996,0.5,0.0
1.0375,0.39375000000000004,0.5,0.0
1.05,0.4,0.5,0.0
1.0625,0.40625,0.5,0.0
1.075,0.4125,0.5,0.0
1.0875,0.41874999999999996,0.5,0.0
1.1,0.42500000000000004,0.5,0.0
1.1125,0.43125,0.5,0.0
1.125,0.4375,0.5,0.0
1.1375,0.44375,0.5,0.0
1.15,0.44999999999999996,0.5,0.0
1.1625,0.45625000000000004,0.5,0.0
1.175,0.4625,0.5,0.0
1.1875,0.46875,0.5,0.0
1.2,0.475,0.5,0.0
1.2125,0.48124999999999996,0.5,0.0
1.225,0.48750000000000004,0.5,0.0
1.2375,0.49375,0.5,0.0
1.25,0.5,0.5,0.0
1.2625,0.50625,0.5,0.0
1.275,0.5125,0.5,0.0
1.2875,0.51875,0.5,0.0
1.3,0.525,0.5,0.0
1.3125,0.53125,0.5,0.0
1.325,0.5375,0.5,0.0
1.3375,0.54375,0.5,0.0
1.35,0.55,0.5,0.0
1.3625,0.55625,0.5,0.0
1.375,0.5625,0.5,0.0
1.3875,0.56875,0.5,0.0
1.4,0.575,0.5,0.0
1.4125,0.58125,0.5,0.0
1.425,0.5875,0.5,0.0
1.4375,0.59375,0.5,0.0
1.45,0.6,0.5,0.0
1.4625,0.60625,0.5,0.0
1.475,0.6125,0.5,0.0
1.4875,0.61875,0.5,0.0
1.5,0.625,0.5,0.0
1.5125,0.63125,0.5,0.0
1.525,0.6375,0.5,0.0
1.5375,0.64375,0.5,0.0
1.55,0.65,0.5,0.0
1.5625,0.65625,0.5,0.0
1.575,0.6625,0.5,0.0
1.5875,0.66875,0.5,0.0
1.6,0.675,0.5,0.0
1.6125,0.68125,0.5,0.0
1.625,0.6875,0.5,0.0
1.6375,0.69375,0.5,0.0
1.65,0.7,0.5,0.0
1.6625,0.70625,0.5,0.0
1.675,0.7125,0.5,0.0
1.6875,0.71875,0.5,0.0
1.7,0.725,0.5,0.0
1.7125,0.73125,0.5,0.0
1.725,0.7375,0.5,0.0
1.7375,0.74375,0.5,0.0
1.75,0.75,0.5,0.0
1.7625,0.75625,0.5,0.0
1.775,0.7625,0.5,0.0
1.7875,0.76875,0.5,0.0
1.8,0.775,0.5,0.0
1.8125,0.78125,0.5,0.0
1.825,0.7875,0.5,0.0
1.8375,0.79375,0.5,0.0
1.85,0.8,0.5,0.0
1.8625,0.80625,0.5,0.0
1.875,0.8125,0.5,0.0
1.8875,0.81875,0.5,0.0
1.9,0.825,0.5,0.0
1.9125,0.83125,0.5,0.0
1.925,0.8375,0.5,0.0
1.9375,0.84375,0.5,0.0
1.95,0.85,0.5,0.0
1.9625,0.85625,0.5,0.0
1.975,0.8625,0.5,0.0
1.9875,0.86875,0.5,0.0
2.0,0.875,0.5,-1.0
2.0125,0.881171875,0.4874999999999998,-1.0
2.025,0.8871875,0.4750000000000001,-1.0
2.0375,0.893046875,0.4624999999999999,-1.0
2.05,0.8987499999999999,0.4500000000000002,-1.0
2.0625,0.904296875,0.4375,-1.0
2.075,0.9096875000000001,0.4249999999999998,-1.0
2.0875,0.914921875,0.4125000000000001,-1.0
2.1,0.92,0.3999999999999999,-1.0
2.1125,0.9249218749999999,0.3875000000000002,-1.0
2.125,0.9296875,0.375,-1.0
2.1375,0.934296875,0.3624999999999998,-1.0
2.15,0.93875,0.3500000000000001,-1.0
2.1625,0.9430468750000001,0.3374999999999999,-1.0
2.175,0.9471875,0.3250000000000002,-1.0
2.1875,0.951171875,0.3125,-1.0
2.2,0.9550000000000001,0.2999999999999998,-1.0
2.2125,0.958671875,0.2875000000000001,-1.0
2.225,0.9621875,0.2749999999999999,-1.0
2.2375,0.9655468749999999,0.2625000000000002,-1.0
2.25,0.96875,0.25,-1.0
2.2625,0.971796875,0.23749999999999982,-1.0
2.275,0.9746874999999999,0.2250000000000001,-1.0
2.2875,0.977421875,0.2124999999999999,-1.0
2.3,0.98,0.20000000000000018,-1.0
2.3125,0.982421875,0.1875,-1.0
2.325,0.9846875,0.17499999999999982,-1.0
2.3375,0.986796875,0.1625000000000001,-1.0
2.35,0.98875,0.1499999999999999,-1.0
2.3625,0.9905468749999999,0.13750000000000018,-1.0
2.375,0.9921875,0.125,-1.0
2.3875,0.993671875,0.11249999999999982,-1.0
2.4,0.995,0.10000000000000009,-1.0
2.4125,0.996171875,0.08749999999999991,-1.0
2.425,0.9971875,0.07500000000000018,-1.0
2.4375,0.998046875,0.0625,-1.0
2.45,0.99875,0.04999999999999982,-1.0
2.4625,0.999296875,0.03750000000000009,-1.0
2.475,0.9996875,0.02499999999999991,-1.0
2.4875,0.999921875,0.012500000000000178,-1.0
2.5,1.0,0.0,0.0
